gt_x,gt_y,vo_x,vo_y,srs_x,srs_y,base_station,esk_x,esk_y
3.4900052107524813,19.934091166413076,4.094181565118896,20.605531055014588,3.435836695476187,20.01344106669856,4,3.8114068875022835,21.167552928981184
3.7538418289338673,20.630481373201235,4.373822919302632,21.30472683333862,3.754510701585496,20.752043116035686,4,4.080653697634529,21.936526300243596
4.021376447356129,21.340564841130455,4.660394420973894,22.020655695592385,3.9152583757595347,21.42407601408605,4,4.323692087755352,22.631694384303927
4.296555100017111,22.05720609629771,4.956418910822333,22.74418062734799,4.247436423507363,22.103788575925368,5,4.578723987240589,23.336327726685894
4.583140566335114,22.787990327825085,5.265680562298277,23.47579305134435,4.573648948949562,22.76987464059576,5,4.868387708064391,24.12094706350081
4.8770331467891515,23.52237031266521,5.5872749950645035,24.219962495917343,4.890053883741296,23.534120893813455,5,5.211649049134873,25.052575328244185
5.200865627266588,24.27379354422333,5.914474007001368,24.961019046180837,5.156904935680901,24.246404046017215,5,5.441590861042784,25.58589231448866
5.523777813734362,25.010919861713468,6.258416601806615,25.710912482031546,5.462070526443949,25.413197831737182,5,5.736743420095433,26.342621045059495
5.865655201618537,25.761878617591556,6.609272111543771,26.461169775561775,5.759124308498873,25.8488638824877,5,6.043602060741774,27.081189899449924
6.2098552828915485,26.516544637912304,6.971565129433991,27.219705267126777,6.184028641811305,26.381735173126717,6,6.3962407649122595,27.88556437560457
6.566106902987338,27.278252086844354,7.339107090142827,27.98180364669232,6.462403355438921,27.06861045058104,6,6.725925722441136,28.60391974012846
6.930063027950174,28.04484385011007,7.72749126308434,28.758196985520726,6.938488426704495,28.152152313468495,6,7.1044845237240555,29.435655748254895
7.309737592522469,28.818536247649327,8.125051619365133,29.536579614193798,7.302042734592208,28.847094358233733,6,7.4661987481055325,30.180656212017396
7.693666538233327,29.598202570930685,8.53141712739849,30.322152633940817,7.663444097277188,29.591564518039814,6,7.839464518747332,30.934384922096122
8.092382780892493,30.38967912435662,8.96764352107065,31.123265534468832,8.129651085559333,30.41310373269754,5,8.261344397310873,31.78073457086538
8.503661697859382,31.187005450692883,9.438844149763613,31.95971875607291,8.42122236763552,31.25891310562657,5,8.65696326880163,32.5532362625161
8.923927675863634,31.990493061334664,9.92378388311918,32.801927060191,8.783149887519146,31.9066093379768,5,9.095622216581916,33.40613869693089
9.354351938502136,32.80012165697689,10.378127338214222,33.62292757600093,9.205259680430881,32.859400580239026,5,9.512029704343517,34.18930926358447
9.795533782708977,33.61596674770559,10.90705677323023,34.47859954378252,9.675925081210515,33.77384828739372,5,9.949387768568826,34.99452444495269
10.250395048687938,34.43957235044643,11.423561194309013,35.33364785036477,10.176699936397126,34.30573810412563,4,10.440628084939716,35.869123583776876
10.71355658202229,35.2732617414183,11.977376948270397,36.21365077603533,10.717039413986798,35.213929131917574,4,10.917487633396593,36.670308204669084
11.188606481036299,36.11676056146674,12.547240612068222,37.135200431091675,11.027780515323455,36.23463362755786,4,11.396356058775972,37.50448487170485
11.670109935989785,36.96276458114093,13.053671370926645,37.993606314510124,11.65077760361442,37.006558121471045,4,11.932664647660543,38.42481231441736
12.164711319961054,37.83889890280505,13.569647256814914,38.862503044500365,12.17444274689326,37.97039277746852,4,12.440494830754238,39.26734380943591
