x,y,site_count,lon,lat
-450.0,314.4654088050314,2,8.4737,48.97235849056604
-450.0,319.49685534591197,5,8.4737,48.97239622641509
-450.0,324.5283018867924,2,8.4737,48.97243396226415
-450.0,329.55974842767296,6,8.4737,48.9724716981132
-450.0,334.5911949685534,6,8.4737,48.972509433962266
-450.0,339.62264150943395,5,8.4737,48.97254716981132
-450.0,344.6540880503144,5,8.4737,48.972584905660376
-450.0,349.68553459119494,6,8.4737,48.97262264150943
-450.0,354.7169811320755,3,8.4737,48.97266037735849
-450.0,359.7484276729559,5,8.4737,48.97269811320755
-450.0,364.7798742138365,5,8.4737,48.972735849056605
-450.0,369.8113207547169,5,8.4737,48.97277358490566
-450.0,374.84276729559747,5,8.4737,48.972811320754715
-450.0,379.8742138364779,4,8.4737,48.97284905660377
-450.0,384.90566037735846,5,8.4737,48.972886792452826
-450.0,389.937106918239,2,8.4737,48.97292452830189
-450.0,394.96855345911945,4,8.4737,48.972962264150944
-450.0,400.0,5,8.4737,48.973
-444.97206703910615,-400.0,3,8.4737625698324,48.967
-444.97206703910615,-394.9685534591195,4,8.4737625698324,48.967037735849054
-444.97206703910615,-389.937106918239,4,8.4737625698324,48.96707547169811
-444.97206703910615,-384.9056603773585,3,8.4737625698324,48.96711320754717
-444.97206703910615,-379.87421383647796,5,8.4737625698324,48.96715094339623
-444.97206703910615,-374.84276729559747,5,8.4737625698324,48.96718867924528
-444.97206703910615,-369.811320754717,3,8.4737625698324,48.96722641509434
-444.97206703910615,-364.7798742138365,3,8.4737625698324,48.96726415094339
-444.97206703910615,-359.748427672956,5,8.4737625698324,48.96730188679245
-444.97206703910615,-354.7169811320755,4,8.4737625698324,48.96733962264151
-444.97206703910615,-349.685534591195,3,8.4737625698324,48.967377358490566
-444.97206703910615,-344.6540880503145,3,8.4737625698324,48.96741509433962
-444.97206703910615,-339.62264150943395,2,8.4737625698324,48.96745283018868
-444.97206703910615,-334.59119496855345,3,8.4737625698324,48.96749056603773
-444.97206703910615,-329.55974842767296,4,8.4737625698324,48.967528301886794
-444.97206703910615,-324.52830188679246,4,8.4737625698324,48.96756603773585
-444.97206703910615,-319.49685534591197,3,8.4737625698324,48.967603773584905
