x,y,z,base_stations
51.845819239170424,235.6249495892258,20.806929827036925,2
50.93556211009905,235.52767255026572,22.77867833064829,2
50.040593613821315,235.6739241951157,21.560654970322503,2
48.928523390895315,235.8311640089379,22.405615871336522,0
48.08065155355492,235.9419955701344,21.890742439665132,0
47.12250976288328,235.8897246237935,21.13749921526346,3
46.24060507455769,236.06722050613598,23.500346580634982,3
45.29400891353873,237.4960765408952,20.10274160090239,3
44.363066614548515,236.33737443222387,22.048496022153586,3
43.43621059303053,236.63501294984755,23.898628529160874,3
42.360932226316955,236.622713886793,22.882842605210044,3
41.386902829716014,236.81266958189815,24.870071140355662,3
40.4823185398232,236.80423407211663,24.8130918777606,4
39.70503663447678,236.95314136774192,23.120153077331224,5
38.62946257046599,237.27806462276047,23.342421946551212,5
37.73745126764523,237.26850222755377,23.226421208835063,5
36.78964213588467,237.11788909650193,26.73756830462412,3
35.83988745115092,237.88881969122002,30.0,3
34.98324536023201,238.06061219828845,29.999999999999886,4
34.118045652595995,238.05761845218385,23.020687413846872,4
33.10105029551165,238.36585997142217,24.56436474822192,3
32.184923701055794,238.35367265827028,23.798642318188286,3
31.21610552856936,238.73299515318178,30.000000000000114,3
30.354574758608443,238.71333068695682,25.060744932242642,2
29.447373853502505,239.1452297539271,26.072078999480937,2
28.35350765727412,241.63285536508013,27.37811787184387,3
27.435571012824756,239.46752050380442,25.465704702504354,3
26.48736400426089,239.8308100584678,24.444458898852986,4
25.53001819736006,240.0526403277785,26.938839566401725,4
24.564355316951143,240.18142600216342,29.999999999999886,4
23.605071981148786,240.24283030973743,27.244115498630777,2
22.606313769446267,240.6251932208908,30.0,2
21.612997561496748,240.73935956552359,27.36774155280648,1
20.710657542853,241.29077007294492,29.99999999999966,1
19.769444158825575,241.2749089676382,30.0,1
18.868531827370635,241.3398383618242,30.0,1
17.924550993194114,241.7702672101498,27.62043080649528,1
17.009302022734996,242.23369589427244,27.719730448087944,1
15.98572551234925,242.52772861795407,30.0,1
15.012660692897018,243.00636475247484,28.86528704456896,2
14.126435360502619,243.1724362020873,30.000000000000227,2
13.24462865904014,243.59190172305884,28.048347296536804,0
12.453338809634628,244.03155384017796,30.0,0
11.488204874815338,244.20054416156637,25.724993223842716,0
10.53427291495445,244.7850740689556,30.0,0
9.726185666824861,244.9061523560943,30.0,1
8.832384098611186,245.35109496323412,30.0,1
7.9928616689845775,245.82212884189502,30.000000000000114,1
7.245547450866863,246.3886283036181,30.00000000000034,1
6.032135414435547,246.70944406356674,30.000000000000227,0
5.177214885645442,247.04835070786996,30.0,0
4.540500008084986,247.55009681744534,30.000000000000114,0
3.506393673977567,248.03258229448554,29.99999999999966,1
2.6271073572997024,248.56366177698322,26.613592549529017,0
1.75169751027476,248.71191967668486,30.000000000000227,0
0.9148306874626025,248.97813485013586,29.999999999999773,0
0.0626577838615659,247.28400581943683,30.0,0
-0.6940068905412525,250.22306293702917,30.0,0
-1.6046561392074163,250.69045795637106,30.000000000000227,1
-2.3399573728939456,251.2809168771872,30.000000000000227,1
-3.0618064211909966,251.61882938765567,26.690481619441016,1
-3.998165818164203,252.07654829040547,30.0,0
-4.9020043991923465,252.44565578059365,30.0,0
-5.527439060942783,253.0666339170488,30.0,0
-6.016612516384169,253.67777943272418,30.000000000000227,0
-6.997088235604902,254.19344045057682,30.0,3
-7.820102972777364,254.48941450006237,30.0,3
-8.543205145996284,255.19544000155594,29.999999999999773,3
-9.256690204630987,255.97325430125292,29.999999999999773,3
-10.300245230586075,256.2087838876947,30.0,3
-10.964729305335922,256.74514486669096,30.0,1
-11.707483849298525,257.516493140561,29.999999999999773,2
-12.57324714168512,257.8829069563498,30.0,2
-13.168661912815017,258.5451563388759,30.0,2
-14.090288715114418,259.3720871796275,30.000000000000227,2
-14.81273384968478,257.24884726259535,23.76900977811988,2
-15.761324509809961,260.1732870913191,29.999999999999773,2
-16.468489066024542,260.69300523803565,30.0,2
-17.25903889959345,261.342331574752,30.000000000000227,3
-18.12437233660394,261.81196594588954,29.999999999999773,0
-18.942555551892564,262.2378030645462,30.0,0
-19.615778838267662,262.7417796118541,30.0,0
-20.52494561186216,263.36428551581616,30.000000000000227,0
-21.30482642410478,263.80132971432755,30.0,0
-22.188712887570816,264.5643201142109,30.0,0
-22.948986095774803,265.17652616773984,30.000000000000227,2
-23.744598170290207,265.6334105211434,30.0,2
-24.486190425612133,266.172215533905,30.000000000000227,2
-25.31929564792638,266.6487040008667,30.000000000000227,2
-26.13878389060779,267.3647027644876,30.0,2
-26.957695720679414,267.7892502853778,30.0,2
-27.844718680192855,268.48585182392475,29.999999999999773,2
-28.470707972872763,269.07826481974644,29.999999999999773,2
-29.320781944506876,269.35425258351296,30.000000000000227,0
-30.226803646211177,270.0910905066609,30.000000000000227,3
-31.034654743762832,270.7923719808182,29.999999999999773,3
-31.719922651448584,271.2005939127302,30.0,3
-32.558883266870595,271.79875016771354,29.999999999999545,3
-33.31268477932865,272.46469395021813,30.0,3
-34.02269851903566,273.027095130408,30.000000000000227,3
-34.69653953283679,273.6234175106259,30.0,3
-35.556212058706166,274.2160949022329,29.999999999999773,2
-36.372879328129116,274.8063958704582,29.999999999999773,2
-36.92624841611762,275.5273633059634,30.0,2
-37.828356933788385,276.17104664360033,30.0,2
-38.43216662851132,276.7959195783372,30.000000000000227,2
-39.24305654536932,277.6219830974408,30.0,1
-40.03221928606712,278.25900439422276,30.000000000000227,1
-40.75255267418387,278.90613899361466,30.0,1
-41.4147090094609,279.8842650201862,30.0,1
-42.32654911681875,280.0627175542242,30.0,2
-42.72130566148998,281.3624517443186,30.000000000000227,2
-43.6184554573454,282.19419953608394,29.999999999999773,2
-44.23230556641641,282.9064400944944,30.000000000000227,2
-45.0540462952732,283.47092248852033,30.0,1
-45.55567380383494,284.3657549598107,29.999999999999545,1
-46.314082509736224,285.0766357105758,30.0,1
-46.842023783710395,285.9668392618728,30.0,1
-47.4653540537998,286.87971823664617,30.000000000000227,1
-48.203920888962365,287.8742523421747,29.999999999999773,0
-48.92628649504468,288.5136036171884,30.0,0
-49.35053315807448,289.67284312424465,30.0,0
-49.95833022147937,290.2378627718598,30.000000000000227,1
-50.667140469277875,291.2069282323619,30.0,1
-51.14932782905504,292.23971464855316,30.0,1
-51.891031977125216,293.19392837976824,30.0,1
-52.53225609899906,294.17913968096263,29.999999999999545,1
-53.18654824678722,294.8709948018517,30.0,1
-53.551817202201946,295.6950820919511,29.999999999999773,1
-54.23183687765658,296.64679353992204,30.0,4
-55.04854821143214,297.72388835931713,29.999999999999773,4
-55.31025512396246,298.705076260234,30.0,4
-55.994991583316704,299.771723182475,29.999999999999773,4
-56.53320881473271,300.6218202204051,30.0,4
-57.179585755630654,301.52342292135063,30.0,3
-57.568578160054,302.4814586518621,30.0,3
-58.39062102975292,303.51401893298635,30.000000000000227,3
-58.91718522014244,304.50396362449465,30.0,3
-59.416775304517806,305.30837798060435,29.999999999999545,3
-60.05589231259791,306.34117023543223,30.000000000000227,3
-60.64975722772065,307.5220928220208,30.0,3
-61.31309102806754,308.49717470654696,29.999999999999773,3
-61.80150911236202,309.1885807889186,30.0,3
-62.406208748897235,310.0704068149265,30.000000000000227,3
-63.19141207942958,311.27788296652426,30.0,3
-63.490822287343995,312.0865430913109,30.000000000000227,3
-64.09059287488164,313.3264722654818,29.999999999999773,3
-64.46215304867606,314.3392266143822,30.0,3
-65.05644490632423,315.4522185708997,30.000000000000227,3
-65.59555467514147,316.3091145773936,29.999999999999773,5
-65.91744559315873,317.36356218917757,29.999999999999773,5
-66.43555088978053,318.2872078162658,30.000000000000227,5
-66.98992191983729,319.4378069387221,30.0,3
-67.18532752663106,320.40332900699286,29.999999999999773,3
-67.72641902157565,321.5520516820991,30.000000000000682,3
-68.0405635373156,322.4717582819205,30.000000000000227,3
-68.52024777004907,323.7814357629566,30.0,3
-69.03213358666937,324.688735318602,29.999999999999773,3
-69.61645329082572,325.6961592295036,30.000000000000455,3
-69.56838066498698,326.73573532918874,29.999999999999545,3
-69.82866234348002,327.86948210582005,30.000000000000227,3
-70.2826509520145,328.69932204752166,30.000000000000455,3
-70.80801967684745,329.8777501265176,30.000000000000227,3
-71.34106331893817,330.8728287064997,30.0,4
-71.4067893505466,331.8833924571055,30.0,4
-71.82692602583704,333.0622580093056,29.999999999999545,4
-72.29464365881336,334.1263781087167,30.0,4
-72.28926891039816,335.24917993901516,29.999999999999773,4
